"cell_type","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"astrocytes_Alzheimer","LINC01094",4.29186367652218e-27,0.7886800206373,0.404,0.203,1.17567021690972e-22
"astrocytes_Alzheimer","RALGDS",5.87169576391965e-27,-0.544513268917672,0.387,0.58,1.60843362061051e-22
"astrocytes_Alzheimer","EPAS1",8.3544724002305e-27,-0.528845634733364,0.121,0.33,2.28854062459514e-22
"astrocytes_Alzheimer","RNF122",8.52563936045679e-27,-0.339995465941685,0.018,0.184,2.33542839000993e-22
"astrocytes_Alzheimer","CCDC190",9.40963521057713e-27,0.387739132087755,0.199,0.061,2.57758137323339e-22
"astrocytes_Alzheimer","EOGT",1.15773099194952e-26,-0.476869632352818,0.091,0.288,3.17137250624733e-22
"astrocytes_Alzheimer","SOX9",1.42413527853325e-26,-0.583338225329153,0.515,0.684,3.90113376848614e-22
"astrocytes_Alzheimer","TMBIM1",1.55279049878561e-26,-0.48379181412991,0.233,0.447,4.25355901332343e-22
"astrocytes_Alzheimer","ETV6",1.62877601412026e-26,-0.999194982402387,0.529,0.639,4.46170613547963e-22
"astrocytes_Alzheimer","EAF2",2.48283162351409e-26,0.454227267591331,0.392,0.194,6.80122066629214e-22
"astrocytes_Alzheimer","JUNB",2.8554898411916e-26,-0.486404486573063,0.149,0.368,7.82204332197616e-22
"astrocytes_Alzheimer","BAZ2B",4.5368232265581e-26,0.397847882380226,0.935,0.915,1.24277198645106e-21
"astrocytes_Alzheimer","MAPK10",7.23865716330544e-26,0.337715401741973,0.982,0.979,1.98288535674426e-21
"astrocytes_Alzheimer","ELL2",8.08450087887241e-26,-1.03746554369986,0.261,0.45,2.21458732574952e-21
"astrocytes_Alzheimer","AQP4",1.09981847025203e-25,-0.426847823031606,0.87,0.951,3.01273273556138e-21
"astrocytes_Alzheimer","FAM19A5",1.10013734621079e-25,0.507427598236379,0.714,0.537,3.01360623247523e-21
"astrocytes_Alzheimer","PLSCR1",1.14185070495113e-25,-1.00758738084848,0.19,0.369,3.12787163607264e-21
"astrocytes_Alzheimer","ELOVL5",1.29747253354755e-25,-0.654318560839412,0.384,0.568,3.5541665111468e-21
"astrocytes_Alzheimer","SLC26A3",1.34800474332675e-25,0.610345295005635,0.424,0.242,3.69258939339497e-21
